text,label
"Frodo and Sam left the Shire with the Ring",hobbits
"Bilbo Baggins wrote about his adventure",hobbits
"Pippin and Merry are brave hobbits",hobbits
"Legolas is an elf from Mirkwood",elves
"Elrond welcomes the fellowship in Rivendell",elves
"Galadriel is the Lady of Lothlorien",elves
"The One Ring was forged by Sauron",rings
"Gollum is obsessed with the precious ring",rings
"Isildur took the ring after the battle",rings
"Mordor is the land of shadow and fire",mordor
"Orcs gather near the Black Gate of Mordor",mordor
"Barad-dur is Sauron's fortress in Mordor",mordor
"Gandalf the Grey guides the fellowship",wizards
"Saruman betrayed the free peoples",wizards
"Radagast is a wizard who loves nature",wizards
"Aragorn is the heir of Isildur",men
"Boromir is a warrior of Gondor",men
"Faramir protects Ithilien and Gondor",men
"Gimli son of Gloin is a dwarf warrior",dwarves
"The dwarves delved deep in Moria",dwarves
"Dain Ironfoot leads the dwarves",dwarves
"Minas Tirith stands as Gondor's white city",locations
"Helm's Deep is a fortress in Rohan",locations
"Mount Doom burns in the heart of Mordor",locations
